ID	Title	Description
116	Write a transliteration plugin for mediawiki	 Write a plugin similar in functionality (and perhaps implementation) to the way the <a rel="nofollow" class="external text" href="http://kk.wikipedia.org">Kazakh-language wikipedia</a>'s orthography changing system works.  It should be able to be directed to use any arbitrary mode from an apertium mode file installed in a pre-specified path on a server.
		
		
119	Generalise phenny/begiak git plugin	 Rename the module to <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> git (instead of github), and test it to make sure it's general enough for at least three common git services (should already be supported, but double check) 
120	phenny/begiak git plugin commit info function	 Add a function to <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> to get the status of a commit by reponame and name (similar to what the svn module does), and then find out why commit 6a54157b89aee88511a260a849f104ae546e3a65 in turkiccorpora resulted in the following output, and fix it: Something went wrong: dict_keys(['commits', 'user', 'canon_url', 'repository', 'truncated']) 
121	phenny/begiak git plugin recent function	 Find out why the <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> git recent function (begiak: recent) returns "urllib.error.HTTPError: HTTP Error 401: UNAUTHORIZED (file "/usr/lib/python3.1/urllib/request.py", line 476, in http_error_default)" for one of the repos and fix it so it returns status instead. 
122	phenny/begiak git plugin status	 Add a function that lets anyone (not just admin) get the status of the git event server for <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> .
123	Document phenny/begiak git plugin	 Document the <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> git module: how to use it with each service it supports, and the various ways the module can be interacted with (by administrators and anyone) 
124	phenny/begiak svn plugin info function	Find out why the info function in <a href="http://wiki.apertium.org/wiki/Begiak">begiak</a> ("begiak info [repo] [rev]") doesn't work and fix it.
125	train tesseract on a language with no available tesseract data	 Train tesseract (the OCR software) on a language that it hasn't previously been trained on.  We're especially interested in languages with some coverage in apertium.  We can provide images of text to train on. 
126	scrape a freely available dictionary using tesseract	 Use tesseract to scrape a freely available dictionary that exists in some image format (pdf, djvu, etc.).  Be sure to scrape grammatical information if available, as well stems (e.g., some dictionaries might provide entries like АЗНА·Х, where the stem is азна), and all possible translations.  Ideally it should dump into something resembling <a href="http://wiki.apertium.org/wiki/Bidix" title="Bidix" class="mw-redirect">bidix</a> format, but if there's no grammatical information and no way to guess at it, some flat machine-readable format is fine. 
127	make scraper plugin for azadliq.org	 Using the directions at <a href="http://wiki.apertium.org/wiki/Writing_a_scraper" title="Writing a scraper">Writing a scraper</a>, make a RFERL scraper for azadliq.org , as a file that loops through stuff like scrp-* file and a class to be included in the scraper_classes file. 
128	make RFERL scraper documentation read like a HOWTO guide	 Enhance the documentation at <a href="http://wiki.apertium.org/wiki/Writing_a_scraper" title="Writing a scraper">Writing a scraper</a> to read/flow more like a HOWTO guide, keeping the current documentation (cleaning/reorganising as needed) as more of a reference guide.  It should include information about what needs to be done for RFERL content and non-RFERL content (more general) 
129	Write an sentence aligner for the UDHR	 Write a script to align two translations of the <a href="http://wiki.apertium.org/wiki/UDHR" title="UDHR">UDHR</a> (final destination: trunk/apertium-tools/udhr_aligner.py).  It should take two UDHR translations and output a tmx file with one article per entry.  It should use the xml formatted UDHRs available from <a rel="nofollow" class="external free" href="http://www.unicode.org/udhr/index_by_name.html">http://www.unicode.org/udhr/index_by_name.html</a> as input and output the aligned texts in tmx format. 
		
		
		
		
		
135	write a browser interface for the concordancer	 Make an html/javascript interface/front-end for <a rel="nofollow" class="external text" href="http://pastebin.com/raw.php?i=KG8ydLPZ">spectie's concordancer</a>, meant for local use.  It should have a box to specify the local path of a corpus, as well as a search box.  Results should be returned without reloading the page.  Ideally, you should use something like <a rel="nofollow" class="external text" href="http://bottlepy.org/">bottlepy</a> for this, and convert the concordancer for use as a library that the server can load.  Make it streamlined both in look and speed (no bloat, please), and make it load results dynamically (via AJAX or similar). 
136	make concordancer work with output of analyser	 Allow <a rel="nofollow" class="external text" href="http://pastebin.com/raw.php?i=KG8ydLPZ">spectie's concordancer</a> to accept an optional apertium mode and directory (implement via argparse).  When it has these, it should run the corpus through that apertium mode and search against the resulting tags and lemmas as well as the surface forms.  E.g., the form алдым might have the analysis via an apertium mode of ^алдым/алд<code>&lt;n&gt;&lt;px1sg&gt;</code><code>&lt;nom&gt;</code>/ал<code>&lt;v&gt;&lt;tv&gt;</code><code>&lt;ifi&gt;&lt;p1&gt;</code><code>&lt;sg&gt;</code>, so a search for "px1sg" should bring up this word. 
137	regex searching in concordancer	 Support searches of regexes, e.g. ".*[кгқғ][ае]н$", in <a rel="nofollow" class="external text" href="http://pastebin.com/raw.php?i=KG8ydLPZ">spectie's concordancer</a>. 
138	scraper for all text urls from kumukia.ru/adabiat	 Write a scraper that gets the urls of all texts at kumukia.ru/adabiat .  It should look into all categories on the navigation bar at the left, and get all urls to texts from each target page. 
139	scraper for all article urls from kumukia.ru/cat-qumuq.html	 Write a scraper that recursively gets the urls of all the articles in the categories linked to at kumukia.ru/cat-qumuq.html .  It should load each page in each category, and get the link to each article (at the text "далее..." = "further..."). 
140	write a scraper plugin for kumukia.ru/adabiat texts       	 <a href="http://wiki.apertium.org/wiki/Writing_a_scraper" title="Writing a scraper">Write a scraper plugin</a> that extracts the raw text from the texts linked to from kumukia.ru/adabiat . 
141	write a scraper plugin for kumukia.ru/cat-qumuq.html articles	  <a href="http://wiki.apertium.org/wiki/Writing_a_scraper" title="Writing a scraper">Write a scraper plugin</a> that extracts the raw text from the articles linked to from kumukia.ru/cat-qumuq.html . 
142	apache forwarding to apertium-apy	 Find out how to get apache to forward an arbitrary url (e.g., <a rel="nofollow" class="external free" href="http://example.com/UrlForAPI">http://example.com/UrlForAPI</a>) to <a href="http://wiki.apertium.org/wiki/Apertium-apy" title="Apertium-apy">apertium-apy</a>, which is a stand-alone service that runs on an arbitrary port.  Document in detail on the wiki. 
143	fix pairviewer's 2- and 3-letter code conflation problems	 <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a> doesn't always conflate languages that have two codes.  E.g. sv/swe, nb/nob, de/deu, da/dan, uk/ukr, et/est, nl/nld, he/heb, ar/ara, eus/eu are each two separate nodes, but should instead each be collapsed into one node.  Figure out why this isn't happening and fix it.  Also, implement an algorithm to generate 2-to-3-letter mappings for available languages based on having the identical language name in languages.json instead of loading the huge list from codes.json; try to make this as processor- and memory-efficient as possible. 
144	add language searching to pairviewer	 Add some way to search for language (by name or code) to <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a>.  When your search is matched, it should highlight the node in some clever way (e.g., how OS X dims everything but what you searched for). 
145	come up with better colours for pairviewer	 <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">Pairviewer</a> currently has a set of colours that's semantically annoying.  Ideally we would have something clearer.  The main idea is that the darker colours represent more-worked-on pairs, and "good" colours (e.g., green) represent more production-ready pairs.  The current set of colour scales, instead of relying solely on darkness of colour within each scale, rely on hue also.  Make it so that these scales internally rely more exclusively on darkness.  Try a few different variants and run them by your mentor, who will have final say as to what's best.  (And if you can leave a few variants around that can be switched out easily in the code, that would be good too.)  You can merge the 1-9 and 10-99 categories if you want (so you'll only need 4 shades per hue); anything under 100 stems is a very small language pair, and we don't need any more detail than that. 
146	map support for pairviewer ("pairmapper")	 Write a version of <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a> that instead of connecting floating nodes, connects nodes on a map.  I.e., it should plot the nodes to an interactive world map (only for languages whose coordinates are provided, in e.g. GeoJSON format), and then connect them with straight-lines (as opposed to the current curved lines).  Use an open map framework, like <a rel="nofollow" class="external text" href="http://leafletjs.com">leaflet</a>, <a rel="nofollow" class="external text" href="http://polymaps.org">polymaps</a>, or <a rel="nofollow" class="external text" href="http://openlayers.org">openlayers</a> 
147	coordinates for Caucasian languages	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Caucasus-ethnic_en.svg">Caucasus-ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format that can be loaded by pairmapper (or, e.g., converted to kml and loaded in google maps).  The file should contain points that are a geographic "center" (locus) for where each language on that map is spoken.  Exclude Kurdish (since it's off the map), and keep Azeri in Azerbaycan and Iran separate.  You can use a capital city for bigger, national languages if you'd like (think Paris as a locus for French). 
148	coordinates for Central Asian languages	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Central_Asia_Ethnic_en.svg">Central_Asia_Ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format that can be loaded by pairmapper (or, e.g., converted to kml and loaded in google maps).  The file should contain points that are a geographic "center" (locus) for where each Turkic language on that map (and also Tajik) is spoken.  You can use a capital city for bigger, national languages if you'd like (think Paris as a locus for French). 
149	coordinates for Mongolic languages	 Using the map <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/File:Linguistic_map_of_the_Mongolic_languages.png">Linguistic map of the Mongolic languages.png</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format that can be loaded by pairmapper (or, e.g., converted to kml and loaded in google maps).  The file should contain points that are a geographic "center" (locus) for where each Mongolic language on that map is spoken.  Use the term "Khalkha" (iso 639-3 khk) for "Mongolisch", and find a better map for Buryat.  You can use a capital city for bigger, national languages if you'd like (think Paris as a locus for French). 
150	draw languages as areas for pairmapper	 Make a map interface that loads data (in e.g. GeoJSON or KML format) specifying areas where languages are spoken, as well as a single-point locus for the language, and displays the areas on the map (something like <a rel="nofollow" class="external text" href="http://leafletjs.com/examples/choropleth.html">the way the states are displayed here</a>) with a node with language code (like for <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a>) at the locus.  This should be able to be integrated into pairmapper, the planned map version of pairviewer. 
151	georeference  language areas for Tatar, Bashqort, and Chuvash	 Using the maps listed here, try to define rough areas for where Tatar, Bashqort, and Chuvash are spoken.  These areas should be specified in a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  Try to be fairly accurate and detailed.  Maps to consult include <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Tatarbashkirs1989ru.PNG">Tatarsbashkirs1989ru</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:NarodaCCCP.jpg">NarodaCCCP</a> 
152	georeference language areas for North Caucasus Turkic languages	 Using the maps listed here, try to define rough areas for where Tatar, Bashqort, and Chuvash are spoken.  These areas should be specified in a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  Try to be fairly accurate and detailed.  Maps to consult include <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Tatarbashkirs1989ru.PNG">Tatarsbashkirs1989ru</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:NarodaCCCP.jpg">NarodaCCCP</a> 
153	georeference language areas for IE and Mongolic Caucasus-area languages	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Caucasus-ethnic_en.svg">Caucasus-ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the area(s) the following languages are spoken in: Ossetian, Armenian, Kalmyk.  There should be a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
154	georeference language areas for North Caucasus languages	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Caucasus-ethnic_en.svg">Caucasus-ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the area(s) the following languages are spoken in: Avar, Chechen, Abkhaz, Georgian.  There should be a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
155	georeference language areas for misc Caucasus-area languages	 Using the maps <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Caucasus-ethnic_en.svg">Caucasus-ethnic_en.svg</a> and <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Lezgin_map.png">Lezgin_map</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the area(s) the following languages are spoken in: Lezgi, Azeri (Azerbaycan), Azeri (Iran), Ingush.  There should be a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
156	georeference language areas for Kazakh	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Central_Asia_Ethnic_en.svg">Central_Asia_Ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the areas Kazakh is spoken in, with a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
157	georeference language areas for Karakalpak and Kyrgyz	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Central_Asia_Ethnic_en.svg">Central_Asia_Ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the areas Karakalpak and Kyrgyz are spoken in, with a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
158	georeference language areas for  Uzbek and Uyghur	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Central_Asia_Ethnic_en.svg">Central_Asia_Ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the areas Tajik and Turkmen are spoken in, with a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
159	georeference language areas for Tajik and Turkmen	 Using the map <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Central_Asia_Ethnic_en.svg">Central_Asia_Ethnic_en.svg</a>, write a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin.  The file should contain specifications for the areas Tajik and Turkmen are spoken in, with a certain level of detail (e.g., don't just make a shape matching Kazakhstan for Kazakh) and accuracy (i.e., don't just put a square over Kazakhstan and call it the area for Kazakh). 
160	georeference language areas for Russian	 Assume areas in Central Asia with any sort of measurable Russian population speak Russian.  Use the following maps to create a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin: <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Kazakhstan_European_2012_Rus.png">Kazakhstan_European_2012_Rus</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Ethnicrussians1989ru.PNG">Ethnicrussians1989ru</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Lenguas_eslavas_orientales.PNG">Lenguas_eslavas_orientales</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:NarodaCCCP.jpg">NarodaCCCP</a>.  Try to cover all the areas where Russian is spoken at least as a major language. 
161	georeference language areas for Ukrainian and Belorussian	 Use the following maps to create a file in <a rel="nofollow" class="external text" href="https://en.wikipedia.orghttp://wiki.apertium.org/wiki/GeoJSON">GeoJSON</a> (or similar) format for use by pairmapper's languages-as-areas plugin that defines where Belorussian and Ukrainian are spoken:  <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:Lenguas_eslavas_orientales.PNG">Lenguas_eslavas_orientales</a>, <a rel="nofollow" class="external text" href="https://commons.wikimedia.orghttp://wiki.apertium.org/wiki/File:NarodaCCCP.jpg">NarodaCCCP</a>. 
162	split nor into nob and nno in pairviewer	 Currently in <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a>, nor is displayed as a language separately from nob and nno.  However, the nor pair actually consists of both an nob and an nno component.  Figure out a way for pairviewer (or pairsOut.py / get_all_lang_pairs.py) to detect this split.  So instead of having swe-nor, there would be swe-nob and swe-nno displayed (connected seemlessly with other nob-* and nno-* pairs), though the paths between the nodes would each still give information about the swe-nor pair.  Implement a solution, trying to make sure it's future-proof (i.e., will work with similar sorts of things in the future). 
163	add support to pairviewer for regional and alternate orthograpic modes	 Currently in <a href="http://wiki.apertium.org/wiki/Pairviewer" title="Pairviewer">pairviewer</a>, there is no way to detect or display modes like zh_TW.  Add suppor to pairsOut.py / get_all_lang_pairs.py to detect pairs containing abbreviations like this, as well as alternate orthographic modes in pairs (e.g. uzb_Latn and uzb_Cyrl).  Also, figure out a way to display these nicely in the pairviewer's front-end.  Get creative.  I can imagine something like zh_CN and zh_TW nodes that are in some fixed relation to zho (think Mickey Mouse configuration?).  Run some ideas by your mentor and implement what's decided on. 
164	using language transducers for predictive text on Android	 Investigate what it would take to add some sort of plugin to existing Android predictive text / keyboard framework(s?) that would allow the use of lttoolbox (or hfst?  or libvoikko stuff?) transducers to be used to predict text and/or guess swipes (in "swype" or similar).  Document your findings on the apertium wiki. 
165	custom predictive text keyboards for Android	 Research and document on apertium's wiki the steps needed to design an application for Android that could load arbitrarily defined / pre-specified keyboard layouts (e.g., say I want to make custom keyboard layouts for <a href="http://wiki.apertium.org/wiki/Kumyk" title="Kumyk">Kumyk</a> and <a href="http://wiki.apertium.org/wiki/Guaran%C3%AD" title="Guaraní">Guaraní</a>, and load either one into the same program) as well as either an lttoolbox-format transducer or a file easily generated from one that could be paired with a keyboard layout and used to predict text in that language. 
166	phenny/begiak ethnologue plugin	 Make a phenny plugin for use in <a href="http://wiki.apertium.org/wiki/Begiak" title="Begiak">begiak</a> that looks up language names and codes on <a rel="nofollow" class="external text" href="http://www.ethnologue.com">ethnologue</a> and returns basic info matching the search: language name, iso 639-3 code, where spoken, total number of speakers, and url to main page on ethnologue (note that irc text is character-limited, so it should be concise, e.g. "12,500,000 native speakers" could be abbreviated as just "12.5M L1").  This should work kind of like the .wik and .iso639 plugins (feel free to steal code from those—note that the .wik/.awik plugins chop text (rather well) to fit in a single irc message). 
167	phenny/begiak url module localisation improvements	 Phenny/<a href="http://wiki.apertium.org/wiki/Begiak" title="Begiak">begiak</a> has a module that detects pasted urls and reports the title of the page.  This doesn't work well with non-UTF8-encoded webpages.  Fix this so that the titles get properly converted to UTF8 and display as intended.  Some titles to test on include <a rel="nofollow" class="external text" href="http://www.philology.ru/linguistics4/madiyeva-67.htm">Ìàäèåâà - Àâàðñêèé ÿçûê</a>, <a rel="nofollow" class="external text" href="http://ruscorpora.ru/search-para-uk.html">Ïîèñê â êîðïóñå. Íàöèîíàëüíûé êîðïóñ ðóññêîãî ÿçûêà</a>, <a rel="nofollow" class="external text" href="http://www.pravda.com.ua/">Óêðà¿íñüêà ïðàâäà</a>, <a rel="nofollow" class="external text" href="http://hypar.ru/nws/show/32/25/index.php">×óâàøñêàÿ ðåñïóáëèêàíñêàÿ ãàçåòà «Õûïàð»</a>, <a rel="nofollow" class="external text" href="http://aot.ru/docs/rusmorph.html">ÀÎÒ&nbsp;:: Òåõíîëîãèè&nbsp;:: Ðóññêàÿ ìîðôîëîãèÿ</a> 
168	phenny/begiak mediawiki plugin(s) support for subsections	 Add support to the .wik and .awik phenny/<a href="http://wiki.apertium.org/wiki/Begiak" title="Begiak">begiak</a> modules for subsections.  Currently if you do something like ".wik French language#Phonology" it brings up random text from the French_language article; instead it should find the Phonology section and return the first bit of text from it (the same as with just an article). 
169	monodix support for stem-counting script	 Add support to the <a rel="nofollow" class="external text" href="https://svn.code.sf.net/p/apertium/svn/trunk/apertium-tools/get_stems.py">dix stem-counter</a> for <a href="http://wiki.apertium.org/wiki/Monodix" title="Monodix">monodix</a> format.  It currently only works on <a href="http://wiki.apertium.org/wiki/Bidix" title="Bidix" class="mw-redirect">bidix</a> format.  For monodix format, it should count <code>&lt;e&gt;</code> elements that specify lm="something". 
170	Run apertium-dixtools paradigm merger on a dictionary	The objective of this task is to use apertium-dixtools to merge equivalent paradigms in a dictionary for AAA. For information about how to do this, contact your mentor and see: http://wiki.apertium.org/wiki/Dixtools:_Equivalent_paradigms
