aadhdhayis	aaashsho
hoolanden	deexuwa
hoolle	deexxa
hoollee	deexxays
hoolliya	deexxees
hootaa	deexxenna
horddofiiddi	deexxida
horoophphilliyaa	deexxidi
horoophphilliyan	deexxiis
hosppun	deexxin
hosppuntta	deexxiya
hoyoti	deexxiyabaa
hssayiyoo	deexxo
hudugaappe	defecated
huge	defence
hulluuqoy	deflated
hulluuquwa	deflower
hum	deflowered
humma	deftness
hum''o	degeeraa
hunxxa	degela
husppun	degelaa
huttaappe	degelay
huupe	'degera'
huuphe	dehumanize
huuphee	de'ido
huuphen	deii
huupheppe	de'ii
huuphessa	de'iiddi
huuphessan	deiis
huuphessi	de'iis
huuphiya	deikko
huuphiyan	de'ikko
huuphiyawu	de'ikkonne
huuphphe	de'ishin
huuphphiya	de'ishion
huuphphiyan	de'iya
huuphphiyappe	de'iyabaa
huupyohuwa	de'iyageeti
huuuphe	de'iyakko
huwaara	de'iyo
i	de'iyode
ibaa	de'iyogaa
icca	de'iyogee
ichchashaa	de'iyoogaa
ichchashan	de'iyosaa
ichchashantto	de'iyosay
ichchashanttoy	de'iyoy
ichchashu	deleketeriya
ida	deleketeriyassi
idaba	delektteree
idabata	deliciousness
iddiriya	delicous
idea	delouse
identity	delphphephpha
idi	dem
idimmada	dema
ido	dembba
idobaappe	dembbaa
idoogaa	dembban
idoogaadan	dembbattiis
idoogaanne	dembbay
idoogadan	dembbayiis
idooge	deme
idoogee	demee
idoogeetuppe	demiya
idoy	demiyo
ifirkkoy	demma
ii	demmaa
iichchida	demmaas
iiddi	demmaasa
iidi	demmaasu
iii	demmabeykke
iippe	demmabeykku
iis	demmadii
iishetto	demmakka
iishsha	demmana
iisiyaanne	demmanaagee
iisiyaappe	demmanaakko
iissiis	demmanaashin
iita	demmanaassi
iitaa	demmanaayyoo
iitaawu	demmanaw
iitabaappe	demmaws
iitabatinne	demmawsu
iitabay	demmay
iitanne	demmees
iitatettaa	demmenna
iitatettawukka	demmennaadan
iitawu	demmennan
iitees	demmettiis
iitiya	demmi
iitiyaabaa	demmibookkona
iitiyabata	demmida
iitiyo	demmidaagaa
iittiyaba	demmidaakko
ikka	demmidi
ikko	demmidosona
ikkonne	demmidoy
ikkonoomiya	demmiidde
ikkonoomiyanne	demmiis
ikkoonomiyan	demmin
iko	demmiyakko
ililaydda	demmiyo
ilililililililililililil	demmiyogaa
ililssaa	demmobaa
ililssan	demmoosona
imam	demonestrate
imama	demonestration
imamada	demonpossessed
imattay	demotion
imettada	demuwa
imettanawu	dendda
imettees	denddaagan
imettenna	denddaasu
imettida	denddanaw
imettido	denddaychcha
imettidosona	denddi
imettin	denddida
imettiya	denddidaagan
imettiyaa	denddidaagaw
imettiyo	denddidabaa
imettiyoode	denddidi
imettiyooge	denddidoogaa
imettiyoogee	denddidoogee
imetto	denddiis
imettyoogaa	denddikko
imma	denddo
immaasu	denddoy
immada	dendduwa
immana	denggeliya
immanaadan	denimarkke
immanabessees	dentta
immanana	denttaasu
immanawu	denttadii
immanwu	denttana
immediate	denttanaayyoo
immees	denttanaw
immenna	denttay
immettabba	denttaychcha
immi	dentterettiis
immidaageetuppe	denttettanaw
immidi	denttettees
immido	denttettiis
immidoogaa	denttettuwa
immidoy	denttidi
immii	denttiichchiyogaa
immiis	denttiis
immin	denttikko
imminawu	denttiya
immioosona	denttiyagaa
immite	denttiyagee
immiya	denttiyakko
immiyaagaa	denttiyo
immiyaagee	denttiyogaa
immiyagaa	denttiyogee
immiyo	denttuwa
immiyogan	de'o
immiyogee	de'oora
immiyoo	de'oosona
immiyoode	de'oy
immiyooga	dependant
immiyoogaa	depised
immiyoogan	dere
immiyoogee	deree
immma	dereqaa
immmanawukka	dereqqaa
immoosona	dereqqaara
immyo	dereqqay
imota	dereqqiis
imotaa	dereqqiyogee
imuwa	dereta
imuwan	deretees
in	deretetta
indicators	deretettaa
inggilizetto	deretettaassi
inggilizettuwa	deretiis
ingineering	deriya
injetiya	deriyan
injettiyaa	deriyassi
injje	deriyaw
injjee	desertification
injjeta	desha
injjetees	deshettaa
injjetennaagaa	deshettada
injjetidaagaadan	deshettay
injjetido	deshetti
injjetiy	deshettid
injjetiya	deshettido
injjetiyaagaa	deshettiis
injjetiyoogaanne	deshettiyogaa
injjeyidi	deshettosan
injjeyiyagaa	deshido
injjeyiyoogaa	deshiis
injjiya	deshshettido
injjiyan	deshshiyo
innikelaakkel	deskkiya
institute	deskkiyan
intensive	destroyable
inter	destructible
introductory	destructing
intte	detachable
inttean	detestation
inttekka	dettenuwa
inttena	detuwa
intteppe	de'uwa
intteppekka	de'uwan
intterkka	de'uwappe
intterneettiya	de'uwaw
intterneettiyan	de'uzziis
intteyo	deviance
intteyyo	devouring
intteyyoo	dewed
intto	dewlap
iraa	dexterousness
iraadoone	diarrhoea
iraadooniyaan	dibaabiya
iraadooniyan	dibbaa
iray	dibbaara
iriipporttiya	dibe
irssaasiyanee	dibilaa
irxxa	dibiliis
irzzo	diccaas
irzzotun	diccaasu
irzzuwa	diccada
irzzuwan	diccanaw
is	diccees
isha	dicci
ishaa	diccida
ishatuura	diccidaagaa
ishee	diccidi
ishin	dicciiddi
ishshin	dicciis
isibay	dicciya
isii	diccokkona
isiine	diccokkonna
isiinintta	diccoosona
isoy	dicees
isporttiya	dichcha
isppeene	dichchaa
ispportte	dichchaassi
iss	dichchaasu
issawaa	dichchanaagee
issawu	dichchanaw
issi	dichchaw
issiba	dichchawsu
issibaa	dichchay
issibaappe	dichchchanaayyoo
issibaassi	dichchees
issibaawu	dichchidaakko
issiban	dichchidi
issibati	dichchido
issibawu	dichchiis
issibay	dichchiya
issibaynne	dichchiyagaa
issidi	dichchiyakko
issiinintta	dichchiyaro
issinno	dichchiyo
issiot	dichchiyogee
issipeetettaa	dichchiyogeenne
issipeetettaan	dichchiyosaa
issipetetta	dictable
issipetettaa	diddaabbee
issipetettaabaakka	diddaabbiya
issipetettaaduussaa	diddinaa
issipetettan	diddinay
issipetettay	diddiqettaa
issipetettaynne	diddiqiis
issippe	diddiquwa
issippetetaa	didigaaye
issippetetan	didigaayiis
issippetetta	didigaayiya
issippetettaa	didn't
issippetettaabaa	di'ettaa
issippetettaanne	diffident
issippetettan	diffiult
issippetettawu	difina
issippetettay	difinaa
issippettaa	difinay
issisaa	digettaa
issisaappe	digettees
issisan	digettida
issishin	digettidaba
issito	digettidabaa
issitoo	digga
issitta	diggaasu
issittoo	digganaw
issoy	digganee
issoynne	diggees
issppe	diggidi
issppetettaa	diggido
isssi	diggiis
issto	diggikko
isstoo	diggiya
issuawaara	digiin
issuqa	digin
issuwa	diginity
issuwaa	digriyan
issuwaagee	diguwa
issuwaakko	dii
issuwaara	diichcho
issuwaaraa	diida
issuwaaranne	diiddi
issuwaassi	di'idi
issuwan	diidimaxe
issuwappe	diifiis
issuwara	diifishin
issuwaraa	diifiya
issuwassinne	di'iis
issuwawu	diijjuwa
istteevi	diikke
isuwwappe	diikko
it	diikkonne
ite	diina
ixettii	diinaa
ixuwa	diinariya
ixxana	diiniya
ixxanwu	diippanaw
ixxees	diippettaa
ixxida	diippiis
ixxikko	diiqaasu
ixxikkoo	diiqettaa
ixxin	diiqiis
ixxinkka	diiran
ixxinne	diis
ixxis	diisees
ixxiyoode	diishin
ixxiyoogaaninne	diishiya
ixxiyoonne	diisiis
ixxiyorin	diittaa
ixxoosona	diiximaxe
iy	diixxiis
iya	diizzaa
iyaa	diizzan
iyaaba	dijiitaale
iyaabaa	dijitaale
iyaabata	dijitiya
iyaabati	dijjaala
iyaaga	dikdik
iyaageeta	dilaa
iyaageeti	dilaasu
iyaanne	dilbbaa
iyaba	dilbban
iyabata	dilbbattiis
iyabatakka	dilccattiis
iyabati	dilccattoosona
iyaga	dilcciina
iyagee	dilettaa
iyakko	dilettaw
iyan	dilica
iyanne	diliis
iyantta	diljjaawa
iyantti	diljjaawiis
iyawu	diljjiis
iykko	diljjis
iyo	diljjo
iyoba	dillimma
iyobashin	dillimmees
iyogaa	dillimmiis
iyogeeta	dimakkaasu
iyona	dimakkiis
iyonne	dimakkuwa
iyoo	dimakuwa
iyooba	dimbbuwa
iyoobay	dimi
iyoode	dimirxxiya
iyooga	dimokiraase
iyoogaa	dimokiraasiya
iyoogaanne	dimookiraasee
iyooge	dinar
iyoogee	dinccettaa
iyoogeeta	dincciis
iyoona	dinddoyaasu
iyoonaa	dinddoyiis
iyoonne	dindduwa
iyoy	dinggate
izaawa	dinggattiyan
izaawaa	dinggice
izaawaagaa	dinkk
izaawata	dinkke
izaawawu	dinnaaqiis
izaawi	dinnaaquwa
izaawu	dinosaurs
ize	dinqqaa
jaamees	dinxxi
jalbbaa	dinynyiya
jarimanettuwaa	di'oy
jarmane	dipparttmenttee
jarmanen	dippi
jeerimenettuwawu	dipploomaa
jerimene	dipploomay
jerimenetikka	diqaala
jermane	diqaalaa
jermenee	diraa
jimaa	diraamaa
ka	diraaman
kaa	diran
kaa'ees	dirattuwa
kaafada	dirbba
kaafanaadan	dirbbaa
kaafe	dirbbaadiriya
kaafeenne	dirbbada
kaafennaageeti	dirbbamiis
kaafeta	dirbban
kaafeti	dirbbanttidi
kaafettana	dirbbanttiis
kaafettees	dirbbanttuwa
kaafettide	dirbbay
kaafida	dirbbennan
kaafidi	dirbbidi
kaafiiddi	dirbbiis
kaafiya	dirbbiya
kaafiyaakka	direttido
kaafiyakko	dirgginttaasu
kaafiyakonne	dirgginttiis
kaafiyooga	dirgginttuwa
kaafiyoona	diri
kaahaa	diridosona
kaaidi	diriis
kaa'iyaba	dirijjitetussi
kaa'iyakko	dirijjitiya
kaa'iyo	dirijjitiyan
kaaketta	dirimettaa
kaalada	dirimiis
kaaletettana	diriyo
kaaletettanawu	dirjjitee
kaaletettiddi	dirjjitiyan
kaaletettiyaagaa	dirqqallaasu
kaaletettiyo	dirqqalletta
kaaletettiyoo	dirqqallettaa
kaaleto	dirqqalliis
kaaletota	dirqqalliisu
kaaletoti	dirssaa
kaaletoy	dirssaappe
kaalettanawu	dirssan
kaalettees	dirssatiya
kaalettidee	dirtied
kaalettiiddi	dirxxettaa
kaalettiiiddi	dirxxidee
kaalettiy	dirxxiis
kaalettiya	dirxxiiss
kaalettiyaa	disavow
kaalettiyaaba	discourteous
kaalettiyaabata	discreetness
kaalettiyaabati	discusser
kaalettiyaagaa	diseasecausing
kaalettiyay	dishkkuwa
kaaletto	dishkkuwagoofariya
kaalettya	dishuwa
kaaletuwa	disinfect
kaaletuwadan	disintegrable
kaalidi	disintegrated
kaaliya	disjoin
kaaliyabata	diskkiya
kaallada	disloyal
kaallana	dismantle
kaallanaadan	dismantled
kaallanan	disparaged
kaalli	disparaging
kaallidaagaanne	dispatchment
kaallidi	disputatious
kaallidicora	disrepair
kaalliy	disrespect
kaalliya	disrespects
kaalliyaa	disrobe
kaalliyaagaa	dissuaded
kaalliyagaa	dissuasion
kaalliyageetuppe	distanced
kaalliyan	distancing
kaalliyo	distractor
kaalliyoy	distractors
kaallliya	distributable
kaallnaadan	distributer
kaalloos	disttiya
kaallosona	disttiyan
kaalo	di'uwa
kaalotana	di'uwan
kaaloy	di'uwappe
kaaluwa	divination
kaaluwan	divorc
kaaluwawu	divorces
kaamee	divorcing
kaamiya	diya
kaamiyan	diyabaa
kaanaada	diyabata
kaanaadan	diyabatu
ka'anaadan	diyabatubaa
kaanaadi	diyagaa
kaareera	diyagee
kaari	diyageeta
kaarikkulemee	diyageeti
kaarikulemee	diyakko
kaarikulemiya	diyakkonne
kaashanawu	diyametiriya
kaashshay	diyo
kaassa	diyobay
kaassaa	diyode
kaassan	diyogaa
kaassanchcha	diyogaw
kaatikiizim	diyogee
kaattaa	diyosaa
kaattaadan	diyosaappe
kaattan	diyosan
kaayidobaa	diyyiya
kaayidobay	dizggiya
kaayoosona	dizzying
kaayuwa	do
kabboyidi	do'a
kabboyiyoo	do'aa
kabeero	do'aassi
kabeeroy	doata
kace	do'ata
kafatto	do'ati
kafoti	do'atussi
kafuwa	do'ay
kaha	docciis
kahaa	docettaa
kahaabaa	docettay
kahaan	dochchanaadan
kahaaninne	dochchiis
kahan	doctor's
kahappe	doda
kahawu	doddoqa
kahay	doddoqettaws
kahuwaassi	doddoqettiis
kajjeelan	doddoquwa
kajjeelana	doesn't
kajjeelis	dogaa
kajjeelite	dogaas
kalali	dogaasu
kalkkotennan	dogada
kallachcha	dogalaa
kallidi	doganchcha
kallinne	dogaychchadii
kalluuteeyye	doggomiis
kambbatattuwa	dogiis
kami	dogikke
kamppaaniyan	dogiya
kana	dogoppa
kanaa	dog's
kanati	doingaction
kanayi	doingthoroughly
kanddoy	dokome
kandduwa	dola
kandduwaanne	dolaa
kane	dolchchiya
kanebata	doldda
kaniya	dolddatiis
kaniyappe	dolees
kankko	dolettada
kanttenna	dolettiis
kantti	dolffiiniya
kanttida	doliis
kanttidaban	dolin
kanttidi	doliwaaqa
kanttidoogaa	doliwaaqiis
kanttiiddi	doliyode
kanttiis	doljja
kanttikkonne	dolliwaaqa
kanttissanawu	dolliwaaqidi
kanttiyoogaa	dolliwaaquwa
kanttuwan	dollozo
kaqettidabaa	doluwa
kaqqada	domaas
karchchi	dombboloa
karddiiqa	dombboloiis
karddiiqatettaa	domettida
karddiya	domettidi
karddiyaninne	domettiis
kare	domidi
karee	domiis
kareen	dominative
kareera	domiya
karen	domiyogaa
karennan	dommiis
kareppe	donare
karetta	donccees
karettappe	donccettaa
karettenna	doncciis
karhi	donddiya
karhioottada	donddiyayanxxila
karihi	donjjillettaa
kariis	donjjillida
karimeellaa	donjjilliis
karimeellay	donkey's
kariya	donkku
kariyo	donoy
kariyooge	don't
kartta	dontta
karttaa	donttaa
karttaappe	donttiis
karttan	donttuwa
karttay	donuwa
kasaran	donzza
kase	donzziis
kasee	dooddettaa
kaseegaa	dooddiis
kaseegaappe	doodettaa
kaseegeetuppe	doodetti
kasekko	doodettiis
kaseppe	dooforiya
kasetada	doogettaa
kaseti	dooggiis
kasetidi	doohaa
kasetidikka	dookkeetiya
kasetiyaa	dookkiya
kasettidi	dookkona
kaseyidi	doolaariya
kasiya	doome
kasiyaa	doometta
kassaa	doomettaa
kata	doomettan
katamati	doomettees
katamatun	doomettiis
katamawu	doomida
kattaa	doomiis
kattaadan	doomin
kattaakka	doomissanaw
kattamaa	doomissiis
kattana	doomissiyagaa
kattanawu	doomiya
kattay	doomma
kattees	doommaas
kattidi	doommaasu
kattite	doommabeykku
kattiyoodenne	doommada
kattiyoosa	doommana
kawatettay	doommanaappe
kawo	doommanaw
kawoba	doommees
kawota	doommettees
kawotaa	doommi
kawotaappenne	doommibeenna
kawotan	doommida
kawotay	doommidi
kawotettaa	doommido
kawotettay	doommidosona
kawotido	doommidoy
kawotiis	doommiis
kawottetan	doommin
kawotuba	doommiyagaa
kawushabawu	doommiyagaadan
kawushsha	doommiyageeta
kawushshaaninne	doommiyageeti
kawushshaba	doommiyaro
kawushshan	doommiyode
kawushshanne	doommoosona
kawushshatettay	doomsayer
kawushshidi	doomuwa
kawuwa	doona
kawuwaa	doonaa
kawuyyiya	doonaama
kayaa	doonaappe
kayan	doonaara
kayati	doonan
kayay	doonanchcha
kayayiyo	doonay
kayayiyoogaa	doonnaa
kayayiyoogaanne	doonnan
kayma	dooqettaa
kayyayiyoogaa	dooqettiyo
kayyottaa	dooqqaasu
kayyottiiddi	dooqqeettees
kayyuwa	dooqqiis
kayyuwan	doorada
kayyuwanne	doorana
keedaa	doorays
keedaanne	dooree
keeha	dooretiis
keehawu	doorettaa
keehi	doorettida
keehin	doorettiis
keehippe	doorframe
keeippe	doorido
keelidi	dooriis
keena	dooriya
keenaa	dooriyagaa
keenaappe	dooriyobata
keenakko	doorjamb
keenanne	dooroosona
keenay	doorotuppe
keenee	dooroy
keeni	doorpost
keessiyaa	dooruwa
keessiyo	dooruwan
keetta	dooruwappe
keettaa	dooruwassi
keettaaba	doos
keettaabaa	doosiya
keettaan	doosona
keettaaninne	doossa
keettaappe	doossaa
keettaawaa	do'oy
keettaawaappe	dooya
keettaawaara	dooyaasu
keettaawatetta	dooyan
keettaaway	dooyanaappe
keettaayeeppe	dooyanaassi
keettaayiyoo	dooyarkkii
keettan	dooyee
keettappe	dooyettees
keettati	dooyettenaadan
keettay	dooyettenna
keettaynne	dooyettennan
keette	dooyettida
keetten	dooyettin
keettey	dooyidi
keetti	dooyiiddi
keexxanawu	dooyiis
keexxees	dooyiya
kefile	dooyiyode
keha	dooyuwa
kehakko	'doro
kehawu	dorppoolle
kehi	dorssa
kehippe	dorssaa
kehiya	dorssaassi
kehiyaaba	dorssan
kehiyooga	dorssanne
keltetishin	dorssata
keltiyan	dorssati
keltte	dorssay
kelttiyan	dorssaynne
kembo	dorssee
kemmidi	dorssi
kessa	dorssiya
kessaa	dorssiyo
kessana	dorssiyonne
kessanawu	dorssossa
kessanawunne	dorssossiis
kessi	dorxxayiis
kessida	dosaa
kessidi	dosawsu
kessido	dosays
kessigiyo	dosaysi
kessite	dosaysippe
kessiya	dosees
kessiyaageetu	dosenna
kessiyo	dosennan
kessiyooba	dosettanaagee
kessiyoy	doshissiis
kessoosona	dosiis
kesuwa	dosikke
kesuwaa	dosin
keten	dosiya
keten''ida	dosiyabadan
keten''idi	dosiyagaa
kettaayyiyakka	dosiyagee
kichchaasu	dosiyo
kifile	dosokkona
kifilee	dosokkonna
kifileta	dosoos
kifiletu	dosoosoa
kifiletun	dosoosona
kifiletuppe	dosukku
kifiliya	dosuwa
kifiliyaa	dottore
kifiliyaakko	dottoree
kifiliyan	dottoreti
kifiliyanne	dottoretuppe
kifiliyappe	dottoriya
kifiliyara	dottoriyakko
kifiliyassi	dottoriyassi
kifiliyawu	doubtfulness
kifille	doughs
kifillee	doum
kifillya	do'uwa
kifilyan	dovegray
kifilyappe	dower
kiike	downslope
kiita	doyca
kiitaa	doyiyogee
kiitaabaa	doyllaa
kiitaaninne	doyna
kiitaanne	doynattiis
kiitaappe	doysa
kiitan	doysaa
kiitata	doysay
kiitay	doyssa
kiittaa	doyssiis
kilttaachcha	doyssikko
kinddo	doza
kinddon	dozaa
kinnaalo	dozata
kirkkaama	dozati
kishshiyaba	dozatu
kixaynne	dozatuban
kiyaasu	dozatussi
kiyana	dozhggu
kiyanawu	dozzati
kiyayaaro	draamaa
kiyayis	draggy
kiyda	drangonfly
kiyees	dreg
kiyenna	dribble
kiyi	dribbles
kiyida	drifty
kiyidaara	dripped
kiyidabati	driver's
kiyidabay	drivers'
kiyidi	drizzled
kiyiichchiis	drizzles
kiyiiddi	droving
kiyinne	dryland
kiyiya	du
kiyiyo	dubba
kiyiyoogaa	dubbattiis
kiyiyoosan	dubbushaa
kiyiyowode	dubbushidi
kiyoosona	dubbushiis
kiyoppa	ducaa
kko	ducana
knowledge	duchchisiis
kochchaa	duchchisikko
kochchay	duchchisuwa
kochchooro	duciya
kochchooroy	duciyan
kohuwanne	duddumushe
kokkaa	duddumushiya
kokkay	duge
kokki	dugen
kokkorinne	dugenne
kollojjiya	dugetta
kolloojjetanne	dugettaa
kolloojjiya	dugettan
kolloojjiyan	dugunuuna
komppiiteriya	dugunuunaa
komppuutere	dugunuuniis
komppuuteree	duhaa
komppuutereti	duhettaa
komppuuteriya	duhettaasu
komppuuteriyaara	duiker
komppuuteriyan	dukettaa
kon	dukettiis
konserttiya	dukkidoogee
kontta	dukkidosay
konttee	dukkiis
kontteekka	dukkikko
konttiya	dukkin
konttiyan	dulakkiis
konttiyassi	dulkka
koohuwa	dulkkiis
koohuwan	dullaa
koohuwappe	dullan
kooliya	dullee
kooriyaa	dulliya
kooshshaadan	dulliyan
korottidi	dulloy
korrintte	dulluuqiya
korssee	dulluwa
korssiya	duma
korssiyaa	dumiis
korssiyawu	dumma
kosettad	dummataasu
kosh	dummatees
koshay	dummatettaa
koshees	dummatiis
koshsh	dummatiya
koshsha	dummattiya
koshshaa	dummayaas
koshshaanne	dummayidi
koshshaara	dummayiis
koshshaassa	dummayiya
koshshaiya	dummayuwa
koshshan	duna
koshshana	dunddaa
koshshawu	dunggo
koshshay	dungguuxa
koshshaykka	dungguuxatettaa
koshshaynne	dungguuxiis
koshshees	dungguzaa
koshsheesharatikka	dunkkaanidosona
koshsheesppe	dunkkaaniis
koshshenna	dunkkaaniya
koshshennaaga	duodenum
koshshennan	duppa
koshshennee	duppaa
koshshi	duraaduridosona
koshshidaakko	duraaduriis
koshshidee	duraaduruwa
koshshido	duraasu
koshshii	durcca
koshshikko	durccaa
koshshin	dure
koshshiya	duree
koshshiyaa	duretaa
koshshiyaaba	duretettaa
koshshiyaabaa	dureti
koshshiyaabata	duretiis
koshshiyaabati	durettaw
koshshiyaabatnne	durettees
koshshiyaaga	duretun
koshshiyaagaappe	duretussi
koshshiyaanne	dureyiis
koshshiyaba	duriiddi
koshshiyabata	duriis
koshshiyabati	duriya
koshshiyabay	durssaa
koshshiyo	durumaa
koshshiyogaanne	durumata
koshshiyogadan	duttaa
koshshiyogakko	duubbalaa
koshshiyoo	duubbalettees
koshshiyooga	duubbaliis
koshshiyoogaa	duuchcha
koshshiyoogaadan	duuchchaa
koshshiyoogaanne	duudane
koshshiyoogee	duudanetettaa
koshshiyoy	duude
koshshoosona	duudiis
kosshshiyaaba	duufuwa
kotta	duuggiis
koxanawu	duuhiya
koydo	duunniya
koydobaa	duuqqa
koydonne	duuqqadii
koyettiya	duuqqiis
koyida	duuquwa
koyidinne	duuraa
koyido	duurussaa
koyidoba	duusha
koyikko	duushaa
koyikkone	duussa
koyiro	duussaa
koyirottidi	duussaappe
koyiruwaa	duussaassi
koyiyaa	duussabaa
koyiyaagaa	duussan
koyiyo	duussaw
koyiyooba	duussay
koyiyoogee	duuto
koyoogaadan	duutta
koyro	duuttaasu
koyrobay	duuttanaw
koyrokka	duutti
koyroogaadan	duuttiis
koyroogaappe	duuttiyagaa
koyroppe	duutuwa
koyrotiidi	duuxa
koyrottada	duuxaa
koyrotti	duuxerettiis
koyrottiddi	duuxerettiyogee
koyrottidi	duuxikko
koyrottiyaa	duuxxanaw
koyroy	duuxxennan
koyruwan	duuxxida
koyydaba	duuxxidosona
koyyees	duuxxiis
koyyenna	duuxxikko
koyyennan	duuyiya
koyyi	duwarssiis
koyyidee	duwarssuwa
koyyidi	duxxiis
koyyido	duzhggu
koyyidobaa	dvd
koyyidobawu	dvdiya
koyyikko	dvdiyan
koyyiya	dwarfish
koyyiyo	dwiddle
koyyiyoogaa	dysentry
koyyiyoogan	e
koyyoosona	eachother
kress	earless
kubaniyan	earth's
kucha	earwax
kulemee	easdily
kulkka	ebela
kulkkatiya	ebelo
kumana	ec
kumanaadan	eceree
kumentta	eceriya
kumetta	eceriyappe
kumettaa	eceriyo
kumido	eciya
kumiyaba	edaa
kunddana	edatana
kunddido	edatiis
kunddikko	edgy
kunddiyoode	ee
kunddiyoogaa	eedise
kuntta	eedisee
kunttada	eedisiya
kunttana	eedisiyabaa
kunttanawu	eedisiyappe
kunttidi	eedisya
kunttikko	eedoy
kunttite	eeduwa
kunttiyaba	eeggalaa
kunttiyanne	eeji'eeja
kunttiyo	eekkees
kunttiyoogaa	eellida
kunttuwa	eelliis
kuraachchiyo	eellosaa
kuriyaanne	eenabeykku
kurumushidoogaa	eenays
kushe	eenenna
kushettoynne	eenettaa
kushiya	eeniis
kushiyan	eenikko
kushppe	eennaa
kushsha	eennay
kushshiyan	eeno
kushshiyaninne	eenoy
kushshoyn	eenukku
kusshsaa	eenuwa
kutta	eeqa
kutti	eeqaa
kuucettida	eeqanchchaa
kuucettiya	eeqatussi
kuuchcha	eeqaw
kuulumuliyageeti	eeqees
kuuranawu	eeqenna
kuuretta	eeqiis
kuurettidi	eeqiya
kuushaaqofaa	eeqqiis
kuushan	eershsha
kuushetta	eeshotiis
kuushetto	eeshsha
kuushsha	eeshshaa
kuushshaa	eeshshaappe
kuushshaassi	eeshshaawaa
kuushshan	eeshshankka
kuushshata	eeshshay
kuushshatuppe	eeshshi
kuushshawu	eeshuwa
kuushshay	eeso
kuuya	eesoota
kuuyanawu	eesota
kuuyees	eesotabeykku
kuuyeettees	eesotada
kuuyettana	eesotana
kuuyettees	eesotees
kuuyettida	eesotidi
kuuyettiis	eesotiis
kuuyidi	eesotikke
kuuyiiddi	eesotite
kuuyikkoka	eesotiya
kuuyiyo	eesotta
kuuyiyobati	eesoy
kuuyiyoosaa	eesoya
kuuyoosona	eesoyees
kuuyya	eesoyiis
kuuyyana	eesoyiya
kuuyyanawu	eessa
kuuyyido	eessaa
kuuyyidoba	eessan
kuwaasiya	eessay
kuwwaase	eessees
kuyya	eessi
kuyyi	eessiiddi
kuyyikko	eessiis
kuyyiyoogee	eessotada
l	eessotidi
la	eessuwan
laa	eessuwara
laaame	eesuwa
laa'anttennasaa	eesuwan
laa'anttiya	eesuwara
laa'anttota	eettanaassi
laaccada	eettanaw
laaccana	eettanawkka
laaccanawu	eettibeennaagee
laaccidi	eettido
laafa	eettiis
laafaa	eettikko
laagganawu	eettiyo
laaggayidda	eettiyobay
laaggayis	eettuwaw
laaggiyaagee	eexi
laale	eexxees
laalettaa	eexxidi
laalettidi	eexxiis
laalettiyoo	eexxiya
laalettoosona	eexxiyo
laali	eeyya
laalidi	eeyyaa
laaliyoogaa	eeyyatettaa
laamaettiyoogee	eeyyaynne
laame	eeyyettiis
laamee	eeyyettoppa
laameenne	eeyyiis
laamerettana	eeyyoppa
laamerettido	eezzees
laamerettiyo	eezziis
laamerettiyoo	eezzoosona
laamerettiyoogaa	efaada
laamerettiyoogee	efaana
laamettaa	efaasu
laamettana	efanaappe
laamettees	effete
laamettenna	effiichchiis
laamettennan	effiis
laamettidi	effiiya
laamettido	effin
laamettiiddi	effirggin
laamettiis	efi
laamettin	efiidi
laamettite	efiis
laamettiyo	efiishin
laamettiyoo	efiya
laamettosa	efiyabaa
laamiya	efiyo
laamiyaa	efiyogaa
laamiyawu	efo
laamiyawunne	efuwa
laamiyo	eg
laamma	eggshaped
laammada	egizibiishinee
laammanawu	eha
laammennan	ehaadii
laammi	ehaana
laammidi	ehaanaadan
laamminne	ehaanaw
laammiyaa	eharkkii
laammiyo	ehaydde
laammiyoogaa	ehees
laammiyoogaanne	ehenna
laammoosona	ehidee
laappun	ehiida
laappuntto	ehiido
laatamanne	ehiidosona
laatamantto	ehiis
laatay	ehiyagaa
laatettees	ehuutee
laatettii	ehuwa
laatettiyaaba	eightyfive
laatettiyoy	eitheror
laatiine	ejection
laatiineeyye	ejeleela
laatin	ekettaa
laatine	ekettanaw
laatissiyoogaadan	ekettennabaa
laatissoosona	ekettibeenna
laatta	ekettiis
laattanawu	ekettiyabaa
laattida	ekettiyabati
laattido	ekiis
laaxa	ekka
laayamanne	ekkaas
laayttay	ekkaasa
labbay	ekkaasu
lad	ekkabeykke
laggayaara	ekkada
lagge	ekkadii
laggee	ekkana
laggeta	ekkanaadan
laggetettay	ekkanaagee
laggetikka	ekkanaasi
laggetitana	ekkanaayyoo
laggetiya	ekkananne
laggettaa	ekkanaw
laggetu	ekkanee
laggetussi	ekkaychchaasu
laggetuura	ekkaydda
laggeyees	ekkees
laggeyo	ekkenna
laggeyonne	ekkennaadan
laggeyuwa	ekkennan
laggiya	ekkettaa
laggiyaara	ekkettiis
laggiyara	ekki
lambba	ekkibeenna
lambbaa	ekkibeennabaadan
lambbeeba	ekkida
lammachcha	ekkidabi
lammiyoogee	ekkiday
langaana	ekkidee
language	ekkidi
lasttiqiyaa	ekkido
laytta	ekkidobaa
layttaa	ekkidoogaa
layttaagaa	ekkidosona
layttaappe	ekkii
layttan	ekkiis
layttay	ekkikii
laytti	ekkikkii
lee'e	ekkin
leem	ekkis
leemi	ekkishin
leemisada	ekkiya
leemisidi	ekkiyagaa
